iter	Passed	Remaining
0	57	57870
1	58	29118
2	58	19533
3	59	14731
4	59	11844
5	59	9919
6	60	8546
7	60	7525
8	61	6721
9	61	6082
10	61	5561
11	62	5128
12	62	4757
13	63	4440
14	63	4165
15	63	3926
16	64	3711
17	64	3526
18	65	3358
19	65	3205
20	65	3064
21	66	2939
22	66	2830
23	67	2727
24	67	2630
25	67	2544
26	68	2460
27	68	2380
28	68	2307
29	69	2247
30	70	2188
31	70	2128
32	70	2072
33	71	2018
34	71	1971
35	71	1922
36	72	1878
37	72	1834
38	72	1793
39	73	1753
40	73	1715
41	73	1680
42	73	1645
43	74	1612
44	74	1581
45	74	1552
46	75	1523
47	75	1495
48	75	1470
49	76	1445
50	76	1421
51	76	1398
52	77	1376
53	77	1355
54	77	1334
55	77	1314
56	78	1294
57	78	1276
58	78	1257
59	79	1239
60	79	1223
61	79	1207
62	80	1191
63	80	1176
64	80	1161
65	81	1148
66	81	1135
67	81	1119
68	82	1106
69	82	1093
70	82	1080
71	82	1068
72	83	1056
73	83	1045
74	84	1036
75	84	1026
76	84	1016
77	85	1008
78	85	999
79	86	990
80	86	980
81	86	971
82	87	962
83	87	952
84	87	942
85	87	932
86	87	922
87	88	914
88	88	906
89	89	899
90	89	891
91	89	884
92	89	876
93	90	869
94	90	861
95	90	854
96	91	847
97	91	840
98	91	833
99	91	826
100	92	820
101	92	812
102	92	805
103	92	799
104	93	792
105	93	787
106	93	781
107	93	775
108	94	769
109	94	764
110	94	759
111	95	753
112	95	748
113	95	743
114	95	737
115	96	732
116	96	727
117	96	723
118	96	717
119	97	712
120	97	708
121	97	704
122	97	698
123	98	694
124	98	690
125	98	686
126	99	682
127	99	677
128	99	673
129	100	670
130	100	666
131	100	662
132	101	658
133	101	655
134	101	651
135	102	648
136	102	644
137	102	640
138	102	637
139	103	634
140	103	631
141	103	627
142	104	624
143	104	620
144	104	617
145	104	614
146	105	610
147	105	607
148	105	604
149	106	601
150	106	598
151	106	595
152	106	592
153	107	589
154	107	586
155	107	583
156	108	580
157	108	577
158	108	575
159	109	575
160	109	572
161	110	569
162	110	567
163	110	564
164	110	561
165	111	558
166	111	556
167	112	555
168	112	554
169	112	551
170	113	549
171	113	546
172	113	544
173	114	542
174	114	539
175	115	538
176	115	536
177	115	534
178	115	532
179	116	529
180	116	526
181	116	524
182	116	522
183	117	519
184	117	517
185	117	515
186	118	513
187	118	511
188	118	508
189	118	506
190	119	504
191	119	502
192	119	500
193	119	498
194	120	496
195	120	494
196	120	492
197	121	490
198	121	488
199	121	486
200	121	484
201	122	482
202	122	480
203	122	478
204	122	476
205	123	474
206	123	472
207	123	470
208	123	469
209	124	467
210	124	465
211	124	463
212	125	461
213	125	460
214	125	458
215	125	456
216	126	454
